X,,,,,,,D,T,'dul ba/,VOWED MORALITY (VINAYA),,D79410,bdr:T55,,
,X,,,,,,D,T,'dul ba mdo rtsa ba/,SUTRA ON VOWED MORALITY (VINAYA SUTRA),,D08052,,,
,,X,,,,,F,,so sor thar ba'i mdo'i rnam bshad gzhung don gsal ba'i nyi ma/,"The Sun which Illuminates the Meaning of the Classic, An Explanation of the ""Sutra on the Vows of Freedom""",RGYAL BA DGE 'DUN GRUB (1391-1474),S05524E,bdr:P80,,WA1NLM3768
,X,,,,,,D,T,bca' khrims/,MONASTIC CODES,,D47149,bdr:T4PD930,,
,,X,,,,,F,,bstan pa rin po che la gces spras su mdzad pa rnams kyi khrims su bca' ba chung ba/,Rules of Conduct composed for those who Cherish the Precious Teachings,RJE TZONG KHA PA BLO BZANG GRAGS PA (1357-1419),S05275MC6,bdr:P64,,WA0XLE63A46CD6956
,,X,,,,,F,,dge 'dun gyi khrims su bca' ba/,Rules of Conduct for the Assembly of Monks,RJE TZONG KHA PA BLO BZANG GRAGS PA (1357-1419),S05275MC5,bdr:P64,,WA0XLF37155C5D532
,X,,,,,,D,T,dge bsnyen/,LIFETIME LAYPERSON VOWS,,D84745,bdr:T2098,,
,,X,,,,,D,T,skyabs 'dzin dge bsnyen/,LIFETIME LAYPERSON REFUGE VOWS,,D67926,,,
,,,X,,,,F,,skyabs gsum 'dzin pa'i dge bsnyen du bsgrub pa'i cho ga,A Ritual for Bestowing the Vows of a Lifetime Layperson with Refuge Commitments,LCANG LUNG AARYA PAndI TA NGAG DBANG BLO BZANG BSTAN PA'I RGYAL MTSAN (1770-1845),S12285E,bdr:P290,,WA0XL8514D4B5D4D6
,X,,,,,,D,T,dge slong /,VOWS OF FULL MONKS,,D06260,bdr:T1611,,
,,X,,,,,F,,bsnyen rdzogs sogs bsgrub tshul gyi cho ga 'khyer bde kun phan/,"'Easy to Use and a Benefit to All,' being a Ritual for Conferring the Ordinations of a Full Monk and the Like",LCANG SKYA NGAG DBANG BLO BZANG CHOS LDAN (1642-1714),S00151M,bdr:P209,,
,,X,,,,,F,,dge slong gi bslab bya gnam lce ldeng mar grags pa/,"A Commentary on the Rules for Fully Ordained Monks, delivered at the Monastery of Namche Deng",RJE TZONG KHA PA BLO BZANG GRAGS PA (1357-1419),S05272M,bdr:P64,,
,,X,,,,,F,,dge slong gi bslab bya sogs nye bar mkho ba 'ga' zhig,"A Number of Necessary Items, including the Rules for Fully Ordained Monks",PAn CHEN BLO BZANG CHOS KYI RGYAL MTSAN (1565-1662),S05945M,bdr:P719,,WA8LS31984
,,X,,,,,F,,dge slong gi bslab bya'i sdom tshig gi rnam bshad thub bstan gsal byed 'od dkar phreng ba/,"'The String of Pure White Lights. for Illuminating the Meaning of the Teachings of the Able Buddhas,' being an Explanation of a Versed Summary on the Ru les for Fully Ordained Monks",KE'U TSANG BLO BZANG 'JAM DBYANGS SMON LAM (1689-&),S06519E,bdr:P307,,
,,X,,,,,F,,las chog gi phyag len gsal bar brjod pa dwangs shel me long /,"'The Mirror of Lucid Crystal,' being a Clear Explanation of the Practice of the Rites of Vowed Discipline",CHE SHOS RIN PO CHE BLO BZANG BYANG CHUB BSTAN PA'I SGRON ME (1861-1933@),S00534E,bdr:P238,,WA0XLCF76495E48B5
,,X,,,,,F,,rje btsun thams cad mkhyen pa'i gsung 'bum thor bu las dge slong gi bslab bya lag len gsal ba'i sgron me 'dul ba bsdus pa'i snying po/, ,RGYAL BA DGE 'DUN RGYA MTSO (1476-1542),S05575E,bdr:P84,,
,X,,,,,,D,T,dge tshul/,VOWS OF NOVICE MONKS,,D37082,bdr:T1967,,
,,X,,,,,F,,dge tshul gyi bslab bya'i sdom tshig,,,S6088E,bdr:P289,,WA0XL42A986C61344
,,X,,,,,F,,dge tshul gyi bslab bya gnam lce ldeng ma/,"A Commentary on the Rules for Novice Monks, delivered at the Monastery of Namche Deng",RJE TZONG KHA PA BLO BZANG GRAGS PA (1357-1419),S05273M,bdr:P64,,
,,X,,,,,F,,dge tshul gyi bslab bya'i sdom tshig,Versed Summary on the Rules for Novice Monks,DNGUL CHU DHARMA BHADRA (1772-1851),S06366M,bdr:P289,,WA0XL42A986C61344
,X,,,,,,D,T,gso sbyong /,RITUALS OF RENEWAL AND PURIFICATION,,D63149,bdr:T809,,
,,X,,,,,F,,gso sbyong/ dbyar gnas/ dgag dbye/ bslab bya'i sdom tshig_/thun drug bden gsol smon tshig sogs sdom pa gsum dang 'brel ba'i skor byang grol khang bzang 'dzeg pa'i them skas zhes bya ba kha skong a ri sog po dgon pa bkra s his dge 'phel gling du gso sbyong bskyon tshul dang bcas pa/,"The ‘Stairway for Ascending to the Palace of Liberation and Enlightenment,’ being a Group of Texts related to the Three Types of Vows, and including, among Others, Works on the Ceremony of Purification and Renewal; the Summer Retreat; the Release of the Summer Retreat; a Versed Summary of the Rules; the Ritual for Six Times of the Day; and the Prayer of Truth; and including also a Special Supplement of the Complete Ceremony as Performed at the Mongolian Temple of Rashi Gempil Ling in the United States",SNA TSOGS (&-&),S00216M,,,
